login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
IDouble,IDouble/Market-Overview-Indexes-Forex-Metals-Crypto,2022-01-10T04:36:39Z,114,114,HTML,True,True,mit
IDouble,IDouble/Customizable-Crypto-Currency-Dashboard-with-Chart,2019-06-15T09:25:48Z,216,216,HTML,True,True,mit
IDouble,IDouble/HTML-Crypto-Currency-Chart-Snippets,2019-06-10T07:34:31Z,273,273,HTML,True,True,mit
IDouble,IDouble/Forex-USD-Currency-Market-Chart,2022-04-26T16:10:59Z,57,57,HTML,True,True,mit
IDouble,IDouble/IDouble,2022-11-18T17:26:07Z,42,42,,True,True,mit
IDouble,IDouble/JSON-XML-REST-SOAP-Playground,2019-01-04T11:43:03Z,26,26,C#,True,True,mit
IDouble,IDouble/Gold-Silver-Ratio-Metal-Chart,2022-08-01T00:21:28Z,56,56,HTML,True,True,mit
IDouble,IDouble/Swiss-Leader-Index-SLI-Chart,2022-07-25T15:26:07Z,33,33,HTML,True,True,mit
IDouble,IDouble/ChatGPT-Simple-Tutorial-Image-Text-Code-Generation,2023-02-24T08:02:21Z,89,89,Python,True,True,mit
IDouble,IDouble/IOTA-Arbitrage,2020-06-14T10:04:18Z,42,42,JavaScript,True,True,mit
IDouble,IDouble/x86-Assembly-Reverse-Engineering,2018-09-11T07:01:57Z,132,132,Assembly,True,True,mit
IDouble,IDouble/Simple-Game-ERC-721-Token-Template,2018-10-27T02:43:16Z,170,170,Solidity,True,True,mit
IDouble,IDouble/Simple-DLL-Injection,2019-08-16T07:07:14Z,87,87,C++,True,True,mit
IDouble,IDouble/Binary-Calculator-JavaScript,2018-06-24T09:30:35Z,91,91,JavaScript,True,True,mit
IDouble,IDouble/NASM-Assembly-Linux-Notes,2019-12-25T08:09:35Z,96,96,Assembly,True,True,mit
